Genero,Faixa_Etaria,Escolaridade,Familiaridade,Q1,Q2,Q3,Q4,Q5,Q6
Feminino,50-59,PGC,Sim,Tristeza,Neutro,Surpresa,Neutro,Neutro,Neutro
Masculino,40-49,PGC,Nao,Neutro,Surpresa,Desgosto,Neutro,Felicidade,Tristeza
Masculino,30-39,PGC,Nao,Neutro,Surpresa,Nao_Sei,Desgosto,Raiva,Desgosto
Masculino,21-29,SC,Sim,Neutro,Felicidade,Surpresa,Nao_Sei,Raiva,Raiva
Masculino,21-29,SI,Sim,Neutro,Nao_Sei,Felicidade,Neutro,Raiva,Desgosto
Masculino,21-29,SI,Sim,Desgosto,Surpresa,Surpresa,Surpresa,Raiva,Nao_Sei
Feminino,50-59,PGC,Nao,Neutro,Medo,Surpresa,Neutro,Raiva,Nao_Sei
Masculino,21-29,SI,Sim,Medo,Felicidade,Surpresa,Desgosto,Raiva,Tristeza
Masculino,21-29,SC,Sim,Tristeza,Felicidade,Surpresa,Medo,Raiva,Medo
Masculino,21-29,SC,Nao,Neutro,Felicidade,Surpresa,Surpresa,Surpresa,Raiva
Masculino,21-29,SC,Nao,Neutro,Raiva,Surpresa,Surpresa,Raiva,Desgosto
Feminino,60,PGC,Sim,Neutro,Nao_Sei,Desgosto,Surpresa,Desgosto,Raiva
Feminino,18-20,SI,Sim,Neutro,Neutro,Nao_Sei,Neutro,Medo,Neutro
