Gênero;Faixa Etária;Escolaridade;Você tem alguma familiaridade com computação gráfica (filmes, jogos, animações e etc);Q7. Você acha que ela está sentido algo mais ? Qual emoção?;Q8. Você acha que ela está sentido algo mais ? Qual emoção?;Q9. Você acha que ela está sentido algo mais ? Qual emoção?;Q10. Você acha que ela está sentido algo mais ? Qual emoção?;Q11. Você acha que ela está sentido algo mais ? Qual emoção?;Q12. Você acha que ela está sentido algo mais ? Qual emoção?;Q13. Você acha que ela está sentido algo mais ? Qual emoção?;Q14. Você acha que ela está sentido algo mais ? Qual emoção?;Q15. Você acha que ela está sentido algo mais ? Qual emoção?;Q16. Você acha que ela está sentido algo mais ? Qual emoção?;Q17. Você acha que ela está sentido algo mais ? Qual emoção?;Q18. Você acha que ela está sentido algo mais ? Qual emoção?;Q19. Você acha que ela está sentido algo mais ? Qual emoção?;Q20. Você acha que ela está sentido algo mais ? Qual emoção?;Q21. Você acha que ela está sentido algo mais ? Qual emoção?;Q22. Você acha que ela está sentido algo mais ? Qual emoção?;Q23. Você acha que ela está sentido algo mais ? Qual emoção?;Q24. Você acha que ela está sentido algo mais ? Qual emoção?;Q25. Você acha que ela está sentido algo mais ? Qual emoção?;Q26. Você acha que ela está sentido algo mais ? Qual emoção?
Feminino;21 até 29 anos;Superior Incompleto;Sim;Medo;Eu não sei (eu percebi alguma coisa mas não sei o que);Surpresa;Raiva;Felicidade;Eu não sei (eu percebi alguma coisa mas não sei o que);Raiva;Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que);Raiva;Tristeza;Eu não sei (eu percebi alguma coisa mas não sei o que);Tristeza;Nenhuma (não percebi nada a mais);Surpresa;Raiva;Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Desgosto;Eu não sei (eu percebi alguma coisa mas não sei o que)
Feminino;21 até 29 anos;Superior Completo;Sim;Nenhuma (não percebi nada a mais);Raiva;Nenhuma (não percebi nada a mais);Surpresa;Felicidade;Nenhuma (não percebi nada a mais);Desgosto;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Desgosto;Raiva;Desgosto;Medo;Surpresa;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Surpresa;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Medo
Feminino;21 até 29 anos;Superior Incompleto;Não;Nenhuma (não percebi nada a mais);Felicidade;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Desgosto;Medo;Nenhuma (não percebi nada a mais);Felicidade;Nenhuma (não percebi nada a mais)
Masculino;21 até 29 anos;Superior Completo;Sim;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Tristeza;Nenhuma (não percebi nada a mais);Raiva;Nenhuma (não percebi nada a mais);Surpresa;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais)
Feminino;21 até 29 anos;Superior Completo;Não;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais)
Feminino;18 até 20 anos;Superior Incompleto;Não;Nenhuma (não percebi nada a mais);Felicidade;Surpresa;Medo;Desgosto;Surpresa;Raiva;Nenhuma (não percebi nada a mais);Felicidade;Raiva;Desgosto;Surpresa;Surpresa;Raiva;Tristeza;Eu não sei (eu percebi alguma coisa mas não sei o que);Surpresa;Desgosto;Raiva;Medo
Feminino;21 até 29 anos;Superior Completo;Não;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais)
Feminino;21 até 29 anos;Superior Incompleto;Sim;Nenhuma (não percebi nada a mais);Medo;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Surpresa;Tristeza;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Medo;Tristeza;Nenhuma (não percebi nada a mais);Surpresa
Feminino;18 até 20 anos;Ensino Médio Completo;Não;Nenhuma (não percebi nada a mais);Medo;Eu não sei (eu percebi alguma coisa mas não sei o que);Surpresa;Eu não sei (eu percebi alguma coisa mas não sei o que);Surpresa;Desgosto;Nenhuma (não percebi nada a mais);Felicidade;Raiva;Desgosto;Nenhuma (não percebi nada a mais);Surpresa;Surpresa;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que)
Feminino;21 até 29 anos;Superior Incompleto;Não;Nenhuma (não percebi nada a mais);Medo;Tristeza;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Medo;Tristeza;Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Nenhuma (não percebi nada a mais);Desgosto;Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que);Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que);Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que)
