Gênero;Faixa Etária;Escolaridade;Você tem alguma familiaridade com computação gráfica (filmes, jogos, animações e etc);Q7. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q8. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q9. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q10. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q11. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q12. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q13. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q14. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q15. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q16. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q17. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q18. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q19. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q20. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q21. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q22. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q23. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q24. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q25. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?;Q26. Qual seu nível de conforto em relação ao personagem apresentado no vídeo?
Feminino;21 até 29 anos;Superior Incompleto;Não;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Desconfortável;Normal;Normal;Confortável;Normal;Desconfortável;Muito confortável;Normal;Desconfortável
Masculino;18 até 20 anos;Superior Incompleto;Sim;Confortável;Desconfortável;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Desconfortável;Desconfortável;Desconfortável;Desconfortável;Normal
Feminino;40 até 49 anos;Superior Completo;Não;Muito confortável;Muito confortável;Confortável;Normal;Confortável;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Masculino;18 até 20 anos;Ensino Médio Incompleto;Sim;Muito confortável;;Muito confortável;Muito confortável;Muito confortável;Muito confortável;Muito confortável;Muito confortável;Muito confortável;Muito confortável;Muito confortável;Muito confortável;Confortável;Muito confortável;Muito confortável;Muito confortável;Muito confortável;Muito confortável;Muito confortável;Muito confortável
Feminino;30 até 39 anos;Pós-Graduação Completa;Sim;Normal;Normal;Normal;Normal;Desconfortável;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Masculino;50 até 59 anos;Superior Completo;Não;;Confortável;Confortável;Confortável;Confortável;Muito confortável;Normal;Confortável;Confortável;Confortável;Muito confortável;Muito confortável;Confortável;Muito confortável;Muito confortável;Confortável;Confortável;Confortável;Confortável;Confortável
Masculino;21 até 29 anos;Superior Completo;Sim;Muito confortável;Muito confortável;Muito confortável;Muito confortável;Muito confortável;Confortável;Confortável;Muito confortável;Muito confortável;Muito confortável;Muito confortável;Muito confortável;Muito desconfortável;Muito confortável;Muito confortável;Muito confortável;Normal;Muito confortável;Muito confortável;Normal
Masculino;21 até 29 anos;Pós-Graduação Completa;Sim;Normal;Normal;Normal;Normal;Desconfortável;Normal;Desconfortável;Desconfortável;Normal;Confortável;Normal;Normal;Normal;Desconfortável;Normal;Normal;Muito desconfortável;Desconfortável;Desconfortável;Desconfortável
Masculino;21 até 29 anos;Superior Completo;Sim;Muito confortável;Confortável;Confortável;Confortável;Normal;Confortável;Normal;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Confortável;Desconfortável;Confortável
Feminino;30 até 39 anos;Pós-Graduação Completa;Não;Confortável;Normal;Normal;Normal;Normal;Normal;Normal;Confortável;Normal;Normal;Normal;Normal;Confortável;Normal;Confortável;Normal;Normal;Normal;Normal;Normal
Masculino;30 até 39 anos;Superior Completo;Sim;Muito confortável;Confortável;Confortável;Normal;Normal;Confortável;Normal;Normal;Normal;Normal;Normal;Confortável;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Masculino;50 até 59 anos;Superior Completo;Não;;Confortável;Confortável;Confortável;Confortável;Muito confortável;Normal;Confortável;Confortável;Confortável;Muito confortável;Muito confortável;Confortável;Muito confortável;Muito confortável;Confortável;Confortável;Confortável;Confortável;Confortável
Masculino;18 até 20 anos;Superior Incompleto;Sim;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Masculino;21 até 29 anos;Superior Incompleto;Sim;Confortável;Normal;Normal;Normal;Confortável;Confortável;Normal;Normal;Confortável;Confortável;Muito confortável;Normal;Normal;Normal;Confortável;Confortável;Normal;Confortável;Confortável;Confortável
Masculino;18 até 20 anos;Ensino Médio Completo;Não;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Feminino;18 até 20 anos;Superior Incompleto;Não;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Masculino;21 até 29 anos;Superior Incompleto;Sim;Confortável;Desconfortável;Confortável;Desconfortável;Desconfortável;Confortável;Confortável;Confortável;Normal;Desconfortável;Normal;Normal;Desconfortável;Desconfortável;Normal;Desconfortável;Desconfortável;Normal;Normal;Normal
Masculino;18 até 20 anos;Ensino Médio Completo;Sim;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Masculino;21 até 29 anos;Superior Incompleto;Não;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Desconfortável;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
