Gênero;Faixa Etária;Escolaridade;Você tem alguma familiaridade com computação gráfica (filmes, jogos, animações e etc);Q1. Qual emoção foi apresentada no vídeo?;Q2. Qual emoção foi apresentada no vídeo?;Q3. Qual emoção foi apresentada no vídeo?;Q4. Qual emoção foi apresentada no vídeo?;Q5. Qual emoção foi apresentada no vídeo?;Q6. Qual emoção foi apresentada no vídeo?
Feminino;18 até 20 anos;Superior Incompleto;Não;Apenas um rosto neutro;Não sei (percebi uma expressão, mas não sei qual);Não sei (percebi uma expressão mas não sei qual);Não sei (percebi uma expressão mas não sei qual);Não sei (percebi uma expressão mas não sei qual);Não sei (percebi uma expressão mas não sei qual)
Masculino;21 até 29 anos;Superior Incompleto;Sim;Apenas um rosto neutro;Surpresa;Surpresa;Apenas um rosto neutro;Raiva;Não sei (percebi uma expressão mas não sei qual)
Masculino;18 até 20 anos;Ensino Médio Completo;Sim;Apenas um rosto neutro;Surpresa;Surpresa;Surpresa;Raiva;Medo
Masculino;21 até 29 anos;Superior Incompleto;Não;Não sei (percebi uma expressão, mas não sei qual);Não sei (percebi uma expressão, mas não sei qual);Surpresa;Medo;Raiva;Não sei (percebi uma expressão mas não sei qual)
Masculino;21 até 29 anos;Superior Completo;Não;Apenas um rosto neutro;Não sei (percebi uma expressão, mas não sei qual);Desgosto;Apenas um rosto neutro;Raiva;Raiva
Masculino;18 até 20 anos;Superior Incompleto;Sim;Apenas um rosto neutro;Felicidade;Não sei (percebi uma expressão mas não sei qual);Não sei (percebi uma expressão mas não sei qual);Raiva;Raiva
Feminino;50 até 59 anos;Ensino Médio Completo;Não;Apenas um rosto neutro;Não sei (percebi uma expressão, mas não sei qual);Não sei (percebi uma expressão mas não sei qual);Surpresa;Não sei (percebi uma expressão mas não sei qual);Apenas um rosto neutro
Feminino;50 até 59 anos;Ensino Médio Completo;Não;Apenas um rosto neutro;Não sei (percebi uma expressão, mas não sei qual);Não sei (percebi uma expressão mas não sei qual);Surpresa;Não sei (percebi uma expressão mas não sei qual);Apenas um rosto neutro
Feminino;50 até 59 anos;Ensino Médio Completo;Não;Apenas um rosto neutro;Não sei (percebi uma expressão, mas não sei qual);Não sei (percebi uma expressão mas não sei qual);Surpresa;Não sei (percebi uma expressão mas não sei qual);Apenas um rosto neutro
Feminino;21 até 29 anos;Superior Incompleto;Sim;Tristeza;Felicidade;Surpresa;Medo;Raiva;Desgosto
Feminino;21 até 29 anos;Superior Incompleto;Sim;Apenas um rosto neutro;Apenas um rosto neutro;Surpresa;Surpresa;Raiva;Medo
Feminino;40 até 49 anos;Pós-Graduação Completa;Sim;Apenas um rosto neutro;Felicidade;Surpresa;Surpresa;Raiva;Desgosto
Masculino;40 até 49 anos;Superior Completo;Sim;Medo;Surpresa;Surpresa;Não sei (percebi uma expressão mas não sei qual);Raiva;Apenas um rosto neutro
Feminino;21 até 29 anos;Superior Completo;Sim;Apenas um rosto neutro;Não sei (percebi uma expressão, mas não sei qual);Surpresa;Não sei (percebi uma expressão mas não sei qual);Não sei (percebi uma expressão mas não sei qual);Apenas um rosto neutro
Masculino;18 até 20 anos;Ensino Médio Completo;Sim;Medo;Felicidade;Surpresa;Desgosto;Raiva;Raiva
Feminino;18 até 20 anos;Superior Incompleto;Não;Apenas um rosto neutro;Felicidade;Surpresa;Medo;Desgosto;Raiva
Feminino;21 até 29 anos;Ensino Médio Completo;Sim;Apenas um rosto neutro;Felicidade;Surpresa;Não sei (percebi uma expressão mas não sei qual);Raiva;Desgosto
Feminino;18 até 20 anos;Superior Incompleto;Não;Apenas um rosto neutro;Surpresa;Surpresa;Felicidade;Raiva;Desgosto
Masculino;18 até 20 anos;Ensino Médio Completo;Não;Apenas um rosto neutro;Surpresa;Felicidade;Medo;Raiva;Tristeza
Feminino;18 até 20 anos;Superior Incompleto;Não;Apenas um rosto neutro;Felicidade;Surpresa;Medo;Desgosto;Raiva
Feminino;40 até 49 anos;Ensino Médio Completo;Não;Apenas um rosto neutro;Não sei (percebi uma expressão, mas não sei qual);Não sei (percebi uma expressão mas não sei qual);Não sei (percebi uma expressão mas não sei qual);Raiva;Não sei (percebi uma expressão mas não sei qual)
Feminino;30 até 39 anos;Superior Completo;Não;Não sei (percebi uma expressão, mas não sei qual);Felicidade;Surpresa;Não sei (percebi uma expressão mas não sei qual);Raiva;Não sei (percebi uma expressão mas não sei qual)
Masculino;50 até 59 anos;Pós-Graduação Completa;Não;Apenas um rosto neutro;Apenas um rosto neutro;Felicidade;Surpresa;Surpresa;Apenas um rosto neutro
Feminino;40 até 49 anos;Pós-Graduação Completa;Não;Apenas um rosto neutro;Apenas um rosto neutro;Surpresa;Apenas um rosto neutro;Felicidade;Desgosto
Masculino;40 até 49 anos;Pós-Graduação Completa;Não;Apenas um rosto neutro;Surpresa;Desgosto;Apenas um rosto neutro;Felicidade;Tristeza
Feminino;40 até 49 anos;Superior Completo;Sim;Apenas um rosto neutro;Apenas um rosto neutro;Não sei (percebi uma expressão mas não sei qual);Não sei (percebi uma expressão mas não sei qual);Não sei (percebi uma expressão mas não sei qual);Apenas um rosto neutro
Feminino;50 até 59 anos;Pós-Graduação Completa;Sim;Tristeza;Apenas um rosto neutro;Surpresa;Apenas um rosto neutro;Apenas um rosto neutro;Apenas um rosto neutro
Masculino;40 até 49 anos;Pós-Graduação Completa;Não;Apenas um rosto neutro;Surpresa;Desgosto;Apenas um rosto neutro;Felicidade;Tristeza
Masculino;30 até 39 anos;Pós-Graduação Completa;Não;Apenas um rosto neutro;Surpresa;Não sei (percebi uma expressão mas não sei qual);Desgosto;Raiva;Desgosto
Masculino;21 até 29 anos;Superior Completo;Sim;Apenas um rosto neutro;Felicidade;Surpresa;Não sei (percebi uma expressão mas não sei qual);Raiva;Raiva
Masculino;21 até 29 anos;Superior Incompleto;Sim;Apenas um rosto neutro;Não sei (percebi uma expressão, mas não sei qual);Felicidade;Apenas um rosto neutro;Raiva;Desgosto
Masculino;21 até 29 anos;Superior Incompleto;Sim;Desgosto;Surpresa;Surpresa;Surpresa;Raiva;Não sei (percebi uma expressão mas não sei qual)
Feminino;50 até 59 anos;Pós-Graduação Completa;Não;Apenas um rosto neutro;Medo;Surpresa;Apenas um rosto neutro;Raiva;Não sei (percebi uma expressão mas não sei qual)
Masculino;21 até 29 anos;Superior Incompleto;Sim;Medo;Felicidade;Surpresa;Desgosto;Raiva;Tristeza
Masculino;21 até 29 anos;Superior Completo;Sim;Tristeza;Felicidade;Surpresa;Medo;Raiva;Medo
Masculino;21 até 29 anos;Superior Completo;Não;Apenas um rosto neutro;Felicidade;Surpresa;Surpresa;Surpresa;Raiva
Masculino;21 até 29 anos;Superior Completo;Não;Apenas um rosto neutro;Raiva;Surpresa;Surpresa;Raiva;Desgosto
Feminino;Acima de 60 anos;Pós-Graduação Completa;Sim;Apenas um rosto neutro;Não sei (percebi uma expressão, mas não sei qual);Desgosto;Surpresa;Desgosto;Raiva
Feminino;18 até 20 anos;Superior Incompleto;Sim;Apenas um rosto neutro;Apenas um rosto neutro;Não sei (percebi uma expressão mas não sei qual);Apenas um rosto neutro;Medo;Apenas um rosto neutro
