Gênero;Faixa Etária;Escolaridade;Você tem alguma familiaridade com computação gráfica (filmes, jogos, animações e etc);Q7. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q8. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q9. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q10. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q11. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q12. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q13. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q14. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q15. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q16. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q17. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q18. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q19. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q20. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q21. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q22. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q23. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q24. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q25. Qual o nível de carisma apresentado pelo personagem no vídeo?;Q26. Qual o nível de carisma apresentado pelo personagem no vídeo?
Feminino;21 até 29 anos;Superior Incompleto;Não;Muito carismático;Normal;Pouco carismático;Pouco carismático;Pouco carismático;Pouco carismático;Normal;Normal;Normal;Carismático;Pouco carismático;Pouco carismático;Pouco carismático;Pouco carismático;Carismático;Pouco carismático;Pouco carismático;Sem carisma;Normal;Pouco carismático
Masculino;18 até 20 anos;Superior Incompleto;Sim;Carismático;Pouco carismático;Normal;Normal;Pouco carismático;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Pouco carismático;Pouco carismático;Pouco carismático;Normal;Normal
Feminino;40 até 49 anos;Superior Completo;Não;Carismático;Carismático;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Masculino;18 até 20 anos;Ensino Médio Incompleto;Sim;Muito carismático;;Muito carismático;Muito carismático;Muito carismático;Muito carismático;Muito carismático;Muito carismático;Muito carismático;Muito carismático;Muito carismático;Muito carismático;Muito carismático;Muito carismático;Muito carismático;Muito carismático;Muito carismático;Muito carismático;Muito carismático;Muito carismático
Feminino;30 até 39 anos;Pós-Graduação Completa;Sim;Carismático;Normal;Normal;Normal;Sem carisma;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Masculino;50 até 59 anos;Superior Completo;Não;;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático
Masculino;21 até 29 anos;Superior Completo;Sim;Carismático;Carismático;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Masculino;21 até 29 anos;Pós-Graduação Completa;Sim;Carismático;Normal;Normal;Pouco carismático;Sem carisma;Pouco carismático;Pouco carismático;Sem carisma;Pouco carismático;Carismático;Pouco carismático;Pouco carismático;Normal;Normal;Normal;Normal;Normal;Pouco carismático;Pouco carismático;Pouco carismático
Masculino;21 até 29 anos;Superior Completo;Sim;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático
Feminino;30 até 39 anos;Pós-Graduação Completa;Não;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Masculino;30 até 39 anos;Superior Completo;Sim;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Masculino;50 até 59 anos;Superior Completo;Não;;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Carismático
Masculino;18 até 20 anos;Superior Incompleto;Sim;Normal;Normal;Pouco carismático;Pouco carismático;Pouco carismático;Pouco carismático;Pouco carismático;Normal;Pouco carismático;Pouco carismático;Pouco carismático;Pouco carismático;Pouco carismático;Pouco carismático;Carismático;Pouco carismático;Pouco carismático;Pouco carismático;Normal;Pouco carismático
Masculino;21 até 29 anos;Superior Incompleto;Sim;Normal;Normal;Pouco carismático;Normal;Carismático;Normal;Normal;Normal;Normal;Carismático;Muito carismático;Normal;Normal;Normal;Carismático;Normal;Pouco carismático;Normal;Normal;Carismático
Masculino;18 até 20 anos;Ensino Médio Completo;Não;Carismático;Normal;Normal;Normal;Sem carisma;Pouco carismático;Pouco carismático;Carismático;Carismático;Normal;Sem carisma;Pouco carismático;Pouco carismático;Pouco carismático;Normal;Pouco carismático;Normal;Normal;Normal;Pouco carismático
Feminino;18 até 20 anos;Superior Incompleto;Não;Carismático;Pouco carismático;Carismático;Carismático;Carismático;Carismático;Carismático;Pouco carismático;Pouco carismático;Carismático;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Pouco carismático;Normal
Masculino;21 até 29 anos;Superior Incompleto;Sim;Normal;Normal;Normal;Normal;Pouco carismático;Normal;Normal;Normal;Normal;Pouco carismático;Normal;Pouco carismático;Pouco carismático;Normal;Pouco carismático;Pouco carismático;Pouco carismático;Normal;Normal;Pouco carismático
Masculino;18 até 20 anos;Ensino Médio Completo;Sim;Pouco carismático;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Masculino;21 até 29 anos;Superior Incompleto;Não;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Masculino;21 até 29 anos;Superior Completo;Não;Carismático;Carismático;Muito carismático;Carismático;Carismático;Normal;Normal;Muito carismático;Carismático;Carismático;Normal;Normal;Normal;Normal;Muito carismático;Muito carismático;Normal;Normal;Normal;Normal
Masculino;18 até 20 anos;Superior Incompleto;Sim;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
Feminino;50 até 59 anos;Ensino Médio Completo;Não;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
